idx	fname	t	tier1	tier2	tier3	n_speakers
1	25.11.2022_11.11.csv	413	0	0	0	0
1	25.11.2022_11.11.csv	414	0	0	0	0
1	25.11.2022_11.11.csv	415	0	0	0	0
1	25.11.2022_11.11.csv	416	0	0	0	0
1	25.11.2022_11.11.csv	417	0	0	0	0
1	25.11.2022_11.11.csv	418	0	0	0	0
1	25.11.2022_11.11.csv	419	0	0	0	0
1	25.11.2022_11.11.csv	420	0	0	0	0
1	25.11.2022_11.11.csv	421	0	0	0	0
1	25.11.2022_11.11.csv	422	0	0	0	0
1	25.11.2022_11.11.csv	423	0	0	0	0
1	25.11.2022_11.11.csv	424	0	0	0	0
1	25.11.2022_11.11.csv	425	0	0	0	0
1	25.11.2022_11.11.csv	426	0	0	0	0
1	25.11.2022_11.11.csv	427	0	0	0	0
1	25.11.2022_11.11.csv	428	0	0	0	0
1	25.11.2022_11.11.csv	429	0	0	0	0
1	25.11.2022_11.11.csv	430	1	0	0	1
1	25.11.2022_11.11.csv	431	1	0	0	1
1	25.11.2022_11.11.csv	432	1	0	0	1
1	25.11.2022_11.11.csv	433	1	0	0	1
1	25.11.2022_11.11.csv	434	1	0	0	1
1	25.11.2022_11.11.csv	435	1	0	0	1
1	25.11.2022_11.11.csv	436	1	0	0	1
1	25.11.2022_11.11.csv	437	1	0	0	1
1	25.11.2022_11.11.csv	438	1	0	0	1
1	25.11.2022_11.11.csv	439	1	0	0	1
1	25.11.2022_11.11.csv	440	1	0	0	1
1	25.11.2022_11.11.csv	441	1	0	0	1
1	25.11.2022_11.11.csv	442	1	0	0	1
1	25.11.2022_11.11.csv	443	1	0	0	1
1	25.11.2022_11.11.csv	444	1	0	0	1
1	25.11.2022_11.11.csv	445	1	0	0	1
1	25.11.2022_11.11.csv	446	1	0	0	1
1	25.11.2022_11.11.csv	447	1	0	0	1
1	25.11.2022_11.11.csv	448	1	0	0	1
1	25.11.2022_11.11.csv	449	1	0	0	1
1	25.11.2022_11.11.csv	450	1	0	0	1
1	25.11.2022_11.11.csv	451	1	0	0	1
1	25.11.2022_11.11.csv	452	1	0	0	1
1	25.11.2022_11.11.csv	453	1	0	0	1
1	25.11.2022_11.11.csv	454	1	0	0	1
1	25.11.2022_11.11.csv	455	1	0	0	1
1	25.11.2022_11.11.csv	456	1	0	0	1
1	25.11.2022_11.11.csv	457	1	0	0	1
1	25.11.2022_11.11.csv	458	1	0	0	1
1	25.11.2022_11.11.csv	459	1	0	0	1
1	25.11.2022_11.11.csv	460	1	0	0	1
1	25.11.2022_11.11.csv	461	1	0	0	1
1	25.11.2022_11.11.csv	462	1	0	0	1
1	25.11.2022_11.11.csv	463	1	0	0	1
1	25.11.2022_11.11.csv	464	1	0	0	1
1	25.11.2022_11.11.csv	465	1	0	0	1
1	25.11.2022_11.11.csv	466	1	0	0	1
1	25.11.2022_11.11.csv	467	1	0	0	1
1	25.11.2022_11.11.csv	468	1	0	0	1
1	25.11.2022_11.11.csv	469	1	0	0	1
1	25.11.2022_11.11.csv	470	1	0	0	1
1	25.11.2022_11.11.csv	471	1	0	0	1
1	25.11.2022_11.11.csv	472	1	0	0	1
1	25.11.2022_11.11.csv	473	1	0	0	1
1	25.11.2022_11.11.csv	474	1	0	0	1
1	25.11.2022_11.11.csv	475	1	0	0	1
1	25.11.2022_11.11.csv	476	1	0	0	1
1	25.11.2022_11.11.csv	477	1	0	0	1
1	25.11.2022_11.11.csv	478	1	0	0	1
1	25.11.2022_11.11.csv	479	1	0	0	1
1	25.11.2022_11.11.csv	480	1	0	0	1
1	25.11.2022_11.11.csv	481	1	0	0	1
1	25.11.2022_11.11.csv	482	1	0	0	1
1	25.11.2022_11.11.csv	483	1	0	0	1
1	25.11.2022_11.11.csv	484	1	0	0	1
1	25.11.2022_11.11.csv	485	1	0	0	1
1	25.11.2022_11.11.csv	486	1	0	0	1
1	25.11.2022_11.11.csv	487	1	0	0	1
1	25.11.2022_11.11.csv	488	1	0	0	1
1	25.11.2022_11.11.csv	489	1	0	0	1
1	25.11.2022_11.11.csv	490	1	0	0	1
1	25.11.2022_11.11.csv	491	1	0	0	1
1	25.11.2022_11.11.csv	492	1	0	0	1
1	25.11.2022_11.11.csv	493	1	0	0	1
1	25.11.2022_11.11.csv	494	1	0	0	1
1	25.11.2022_11.11.csv	495	1	0	0	1
1	25.11.2022_11.11.csv	496	1	0	0	1
1	25.11.2022_11.11.csv	497	1	0	0	1
1	25.11.2022_11.11.csv	498	1	0	0	1
1	25.11.2022_11.11.csv	499	1	0	0	1
1	25.11.2022_11.11.csv	500	1	0	0	1
1	25.11.2022_11.11.csv	501	1	0	0	1
1	25.11.2022_11.11.csv	502	1	0	0	1
1	25.11.2022_11.11.csv	503	1	0	0	1
1	25.11.2022_11.11.csv	504	1	0	0	1
1	25.11.2022_11.11.csv	505	1	0	0	1
1	25.11.2022_11.11.csv	506	1	0	0	1
1	25.11.2022_11.11.csv	507	1	0	0	1
1	25.11.2022_11.11.csv	508	1	0	0	1
1	25.11.2022_11.11.csv	509	1	0	0	1
1	25.11.2022_11.11.csv	510	1	0	0	1
1	25.11.2022_11.11.csv	511	0	0	0	0
1	25.11.2022_11.11.csv	512	0	0	0	0
1	25.11.2022_11.11.csv	513	0	0	0	0
1	25.11.2022_11.11.csv	514	0	0	0	0
1	25.11.2022_11.11.csv	515	0	0	0	0
1	25.11.2022_11.11.csv	516	0	0	0	0
1	25.11.2022_11.11.csv	517	0	0	0	0
1	25.11.2022_11.11.csv	518	0	0	0	0
1	25.11.2022_11.11.csv	519	0	0	0	0
1	25.11.2022_11.11.csv	520	0	0	0	0
1	25.11.2022_11.11.csv	521	0	0	0	0
1	25.11.2022_11.11.csv	522	0	0	0	0
1	25.11.2022_11.11.csv	523	0	0	0	0
1	25.11.2022_11.11.csv	524	0	0	0	0
1	25.11.2022_11.11.csv	525	0	0	0	0
1	25.11.2022_11.11.csv	526	0	0	0	0
1	25.11.2022_11.11.csv	527	0	0	0	0
1	25.11.2022_11.11.csv	528	0	0	0	0
1	25.11.2022_11.11.csv	529	0	0	0	0
1	25.11.2022_11.11.csv	530	0	0	0	0
1	25.11.2022_11.11.csv	531	0	0	0	0
1	25.11.2022_11.11.csv	532	0	0	0	0
